doi,title,abstract
10.1101/2023.01.25.23284831,Spatiotemporal transmission of SARS-CoV-2 lineages during 2020-2021 in Pernambuco - Brazil,"In recent years, the SARS-CoV-2 viruses emerged and spread around the world, leaving a large death toll and long-lasting impact on survivors. As of January 2023, Brazil is still among the countries with the highest number of registered deaths. This continental-size and pluralistic country experienced a heterogenous implementation of non-pharmacological and pharmacological interventions which, associated with large socioeconomic differences between the country regions, has led to distinct virus spread dynamics across the country. Here we investigate the spatiotemporal dispersion of emerging SARS-CoV-2 lineages and its dynamics in distinct epidemiological scenarios in the first two years of the pandemics in the Pernambuco state (Northeast Brazil). We generated a total of 1389 new SARS-CoV-2 genomes from June 2020 to August 2021 covering all major regions of the state. This sampling captured the arrival, communitary transmission and the circulation of the B1.1, B.1.1.28 and B.1.1.33 lineages in the first eight months of the pandemics, the emergence of the former variant of interest P.2 and the emergence and fast replacement of all previous variants by the more transmissible variant of concern P.1 (Gamma) lineage. Based on the incidence and lineage spread pattern we observed that there was an East-to-West to inner state pattern of transmission which is in agreement with the transmission of more populous metropolitan areas to medium and small size country-side cities in the state. Such transmission patterns may be partially explained by the main routes of traffic across municipalities in the state. Nevertheless, inter-state traffic was also another important source of lineage introduction and spread into the state. Our results highlight that the fine grained intrastate analysis of lineages and incidence spread can provide actionable insights for planning future non-pharmacological intervention for air-borne transmissible human pathogens."
10.1101/2023.01.26.23285075,Effects of Mitigation and Control Policies in Realistic Epidemic Models Accounting for Household Transmission Dynamics,"BackgroundCompartmental infectious disease (ID) models are often used to evaluate non-pharmaceutical interventions (NPIs) and vaccines. Such models rarely separate within-household and community transmission, potentially introducing biases in situations where multiple transmission routes exist. We formulated an approach that incorporates household structure into ID models, extending the work of House and Keeling.

DesignWe developed a multi-compartment susceptible-exposed-infectious-recovered-susceptible-vaccinated (MC-SEIRSV) modeling framework, allowing non-exponentially distributed duration in Exposed and Infectious compartments, that tracks within-household and community transmission. We simulated epidemics that varied by community and household transmission rates, waning immunity rate, household size (3 or 5 members), and numbers of Exposed and Infectious compartments (1-3 each). We calibrated otherwise identical models without household structure to the early phase of each parameter combinations epidemic curve. We compared each model pair in terms of epidemic forecasts and predicted NPI and vaccine impacts on: the timing and magnitude of the epidemic peak and on its total size. Meta-analytic regressions characterized the relationship between household structure inclusion and the size and direction of biases.

ResultsOtherwise similar models with and without household structure produced equivalent early epidemic curves. However, forecasts from models without household structure were biased. Without intervention, they were upward-biased on peak size and total epidemic size, with biases also depending on the number of Exposed and Infectious compartments. Model-estimated NPI effects of a 60% reduction in community contacts on peak time and size were systematically overestimated without household structure. Biases were smaller with a 20% reduction NPI. Because vaccination impacted both community and household transmission, their biases were smaller.

ConclusionsID models without household structure can produce biased outcomes in settings where within-household and community transmission differ."
10.1101/2023.01.27.23285105,"Waves in time, but not in space - An analysis of pandemic severity of COVID-19 in Germany based on spatio-temporal clustering","While pandemic waves are often studied on the national scale, they typically are not distributed evenly within countries. This paper employs a novel approach to analyze the tempo-spatial dynamics of the COVID-19 pandemic in Germany. First, we base the analysis on a composite indicator of pandemic severity to gain a more robust understanding of the temporal dynamics of the pandemic. Second, we subdivide the pandemic during the years 2020 and 2021 into fifteen phases, each with a coherent trend of pandemic severity. Third, we analyze the patterns of spatial association during each phase. Fourth, similar types of trajectories of pandemic severity among all German counties were identified through hierarchical clustering. The results imply that the hotspots and cold spots of the first four waves of the pandemic were relatively stationary in space so that the pandemic moved in time but less in space."
10.1101/2023.01.24.23284961,Associations of Healthy Lifestyle and Socioeconomic Status with Cognitive Function in U.S. Older Adults,"We investigated the complex relations of socioeconomic status (SES) and healthy lifestyles with cognitive functions among older adults in 1,313 participants, aged 60 years and older, from the National Health and Nutrition Examination Survey 2011-2014. Cognitive function was measured using an average of the standardized z-scores of the Consortium to Establish a Registry for Alzheimers Disease Word Learning and delayed recall tests, the Animal Fluency Test, and the Digit Symbol Substitution Test. Latent class analysis of family income, education, occupation, health insurance, and food security was used to define composite SES (low, medium, high). A healthy lifestyle score was calculated based on smoking, alcohol consumption, physical activity, and the Healthy-Eating-Index-2015. In survey-weighted multivariable linear regressions, participants with 3 or 4 healthy behaviors had 0.07 (95% CI: 0.005, 0.14) standard deviation higher composite cognitive z-score, relative to those with one or no healthy behavior. Participants with high SES had 0.37 (95% CI: 0.29, 0.46) standard deviation higher composite cognitive z-score than those with low SES. No statistically significant interaction was observed between healthy lifestyle score and SES. Our findings suggested that higher healthy lifestyle scores and higher SES were associated with better cognitive function among older adults in the United States."
10.1101/2023.01.26.23285047,Difficulty with Mobility among the Aged in Ghana: Evidence from Wave 2 of the World Health Organizations study on Global Ageing and Adult Health,"BackgroundThe recent decline in mortality, increase in life expectancy and technological and scientific advancements have led to an increasingly ageing population. About 727 million people globally were aged 65 or more in 2020, and 1 in 6 people will be age 65 years or above by 2050. About 7% of Ghanas population was over 60 years in 2010, and projected to be 12% by 2050. However, the aged are confronted with degenerative conditions that translate into difficulty with mobility. The study was conducted to investigate the difficulty with mobility among the aged in Ghana.

MethodsThe study utilised a cross-sectional dataset of the 2014/2015 (wave 2) Study on Global Ageing and Adult Health and included 1,848 participants aged [&ge;]50 years. The survey command was applied to adjust for sampling biases and the design of the study. At 5% alpha level, a chi-square test of independence was conducted to determine the association between dependent and independent variables. At 95% confidence interval and 5% alpha level, three-level multilevel logistic regression models were performed. The fixed-effects were presented in odds ratio and the random effects were presented using the Intra-Class Correlation. All analysis were performed using STATA statistical software version 16.0.

ResultsOut of the 1,848 participants, 62.3% had difficulty with mobility. Additionally, age (80 and above) [AOR=4.70, 95%CI=2.34 - 9.43], difficulty performing household activities [AOR=6.96, 95%CI=5.03 - 9.64], experiencing bodily pains [AOR=3.21, 95%CI=1.81 - 5.60] and bodily discomfort [AOR=3.39, 95%CI=1.91 - 5.99] and difficulty with vision [AOR=1.70, 95%CI=1.18 - 2.43] had higher odds of difficulty with mobility. However, engaging in vigorous activities [AOR=0.44, 95%CI=0.32 - 0.63] and having good health [AOR=0.41, 95%CI=0.19 - 0.88] were protective of difficulty with mobility.

ConclusionThe study concludes that the aged in Ghana had higher prevalence (62.3%) of difficulty with mobility which is associated with age (80 and above), difficulty performing household activities, bodily pains and discomfort, and difficulty with vision. This suggests the need to provide support and assistive devices for the aged and provide geriatric care including recreational fields and care homes to address the health and physical needs of the aged in Ghana."
10.1101/2022.07.24.22277978,Genomic epidemiology reveals the dominance of Hennepin County in transmission of SARS-CoV-2 in Minnesota from 2020-2022,"SARS-CoV-2 has had an unprecedented impact on human health and highlights the need for genomic epidemiology studies to increase our understanding of virus evolution and spread, and to inform policy decisions. We sequenced viral genomes from over 22,000 patient samples tested at Mayo Clinic Laboratories between 2020-2022 and use Bayesian phylodynamics to describe county and regional spread in Minnesota.

The earliest introduction into Minnesota was to Hennepin County from a domestic source around January 22, 2020; six weeks before the first confirmed case in the state. This led to the virus spreading to Northern Minnesota, and eventually, the rest of the state. International introductions were most abundant in Hennepin (home to the Minneapolis/St. Paul International (MSP) airport) totaling 45 (out of 107) over the two-year period. Southern Minnesota counties were most common for domestic introductions with 19 (out of 64), potentially driven by bordering states such as Iowa and Wisconsin as well as Illinois which is nearby. Hennepin also was, by far, the most dominant source of in-state transmissions to other Minnesota locations (n=772) over the two-year period.

We also analyzed the diversity of the location source of SARS-CoV-2 viruses in each county and noted the timing of state-wide policies as well as trends in clinical cases. Neither the number of clinical cases or major policy decisions, such as the end of the lockdown period in 2020 or the end of all restrictions in 2021, appeared to have impact on virus diversity across each individual county.

ImportanceWe analyzed over 22,000 SARS-CoV-2 genomes of patient samples tested at Mayo Clinic Laboratories during a two-year period in the COVID-19 pandemic that included Alpha, Delta, and Omicron VoCs to examine the roles and relationships of Minnesota virus transmission.

We found that Hennepin County, the most populous county, drove the transmission of SARS-CoV-2 viruses in the state after including the formation of earlier clades including 20A, 20C, and 20G, as well as variants of concern Alpha and Delta. We also found that Hennepin County was the source for most of the county-to-county introductions after its initial introduction with the virus in early 2020 from an international source, while other counties acted as transmission ""sinks"". In addition, major policies such as the end of the lockdown period in 2020 or the end of all restrictions in 2021, did not appear to have an impact on virus diversity across individual counties."
10.1101/2022.10.02.22280623,Effectiveness of nirmatrelvir-ritonavir against hospital admission or death: a cohort study in a large US healthcare system,"BackgroundIn the United States, oral nirmatrelvir-ritonavir (Paxlovid) is authorized for use among patients aged [&ge;]12 years with mild-to-moderate SARS-CoV-2 infection who are at risk for progression to severe COVID-19, including hospitalization. However, effectiveness under current real-world prescribing practices in outpatient settings is unclear.

MethodsWe undertook a matched observational cohort study of non-hospitalized cases with SARS-CoV-2 infection to compare outcomes among those who received or did not receive nirmatrelvir-ritonavir within the Kaiser Permanente Southern California healthcare system. Cases were matched on testing date, age, sex, clinical status (including care received, presence or absence of acute COVID-19 symptoms at testing, and time from symptom onset to testing), history of vaccination, Charlson comorbidity index, prior-year healthcare utilization, and body mass index. Primary analyses evaluated effectiveness of nirmatrelvir-ritonavir in preventing hospital admission or death within 30 days after a positive test. Secondary analyses evaluated effectiveness against intensive care unit admission, mechanical ventilation, or death within 60 days after a positive test. We measured treatment effectiveness as (1-adjusted hazards ratio [aHR])x100%, estimating the aHR via Cox proportional hazards models.

ResultsAnalyses included 7,274 nirmatrelvir-ritonavir recipients and 126,152 non-recipients with positive results from SARS-CoV-2 tests undertaken in outpatient settings between 8 April and 7 October, 2022. Overall, 114,208 (85.6%) and 81,739 (61.3%) of 133,426 participants had received [&ge;]2 and [&ge;]3 COVID-19 vaccine doses, respectively. A total of 111,489 (83.6% of 133,426) cases were symptomatic at the point of testing, with 5,472 (75.2% of 7,274) treatment recipients and 84,657 (67.1% of 126,152) non-recipients testing within 0-5 days after symptom onset. Effectiveness in preventing hospital admission or death within 30 days after a positive test was 79.6% (95% confidence interval: 33.9% to 93.8%) for cases dispensed nirmatrelvir-ritonavir within 0-5 days after symptom onset; within the subgroup of cases tested 0-5 days after symptom onset and dispensed treatment on the day of their test, effectiveness was 89.6% (50.2% to 97.8%).

Effectiveness declined to 43.8% (-33.3% to 81.7%) for treatment course dispensed [&ge;]6 days after symptom onset or to cases who were not experiencing acute clinical symptoms. Overall, for cases dispensed treatment at any time within their clinical course, effectiveness was 53.6% (6.6% to 77.0%). Effectiveness in preventing the secondary endpoint of intensive care unit admission, mechanical ventilation, or death within 60 days after a positive test was 89.2% (-25.0% to 99.3%) for cases dispensed treatment 0-5 days after symptom onset and 84.1% (18.8% to 96.9%) for cases dispensed treatment at any time. Subgroup analyses identified similar effectiveness estimates among cases who had received [&ge;]2 or [&ge;]3 COVID-19 vaccine doses.

ImplicationsIn a setting with high levels of COVID-19 vaccine and booster uptake, receipt of nirmatrelvir-ritonavir 0-5 days after symptom onset was associated with substantial reductions in risk of hospital admission or death within 30 days after a positive outpatient SARS-CoV-2 test.

FundingUS Centers for Disease Control and Prevention, US National Institutes of Health"
10.1101/2023.01.07.23284298,Parasitic manipulation or side effects? The effects of past Toxoplasma and Borrelia infections on human personality and cognitive performance are not mediated by impaired health,"Bacteria Borrelia burgdorferi s. l. and even more the protozoan Toxoplasma gondii are known to affect the behavior of their animal and human hosts. Both pathogens infect a significant fraction of human population, and both survive in the hosts body for a long time. The resulting latent infections used to be considered clinically asymptomatic. In the last decade, however, numerous studies have shown that this view may be wrong and both infections can have various adverse effects on human health. Their specific behavioral effects may thus be merely side effects of the general impairment of patients health. We tested this hypothesis on a cohort of 7,762 members of internet population using a two-hour-long survey consisting of a panel of questionnaires and performance tests. Our findings confirmed that subjects infected with Toxoplasma were in worse physical and mental health and those infected with Borrelia were in worse physical health than corresponding controls. The infected and noninfected subjects also differed in several personality traits (conscientiousness, pathogen disgust, injury disgust, Machiavellianism, narcissism, tribalism, anti-authoritarianism, intelligence, reaction time, and precision). Majority of the behavioral effects associated with Borrelia infection were the same as those associated with Toxoplasma infection, but some dramatically differed (e.g., performance in the Stroop test). Path analyses and nonparametric partial Kendall correlation tests showed that these effects were not mediated by impaired health of the infected individuals. The results thus contradict predictions of the side effects hypothesis."
10.1101/2022.12.16.22283563,Pre-Diagnostic Circulating RNAs Networks Identify Testicular Germ Cell Tumour Susceptibility Genes,"Testicular germ cell tumour (TGCT) is a malignancy with known inherited risk factors, affecting young men. We have previously identified several hundred circulating RNAs that were differentially expressed in pre-diagnostic serum samples from TGCT cases when compared to healthy controls. In this study we performed network preservation analyses of pre-diagnostic serum mRNA and miRNA. Hub genes, enriched functional pathways, and regulatory feature prediction were identified for all TGCT, seminoma, and non-seminoma cases separately, compared to controls. We identified UBCA1, RCC1, FMR1, OSA3, and UBE2W as hub genes associated with TGCT. The genes OSA3 and UBE2W have previously been associated with testicular dysgenesis syndrome (TDS) disorders. Previously described TGCT susceptibility genes TEX14, NARS2, and G3BP2 were identified as hub genes in both seminoma and non-seminoma networks. Furthermore, network module analysis showed prediction of transcription factors for oestrogen-related receptors. The overlap between network hub genes and TGCT susceptibility genes indicates a role in the progression from germ cell neoplasia in situ (GCNIS) to TGCT that should be further investigated."
10.1101/2023.01.24.23284980,Estimations of SARS-CoV-2 endemic characteristics,"The fourth year of the COVID-19 pandemic without decreasing trends in the global numbers of new daily cases, high numbers of circulating SARS-CoV-2 variants and re-infections together with pessimistic predictions for the Omicron wave duration force studies about the endemic stage of the disease. The global trends were illustrated with the use the accumulated numbers of laboratory-confirmed COVID-19 cases and deaths, the percentages of fully vaccinated people and boosters and the results of calculation of the effective reproduction number provided by Johns Hopkins University. The modified SIR model showed the presence of unsteady equilibrium. The global numbers of new daily cases will range between 300 thousand and one million, daily deaths - between one and 3.3 thousand."
10.1101/2023.01.26.23285048,"Impaired glucose tolerance and cardiovascular risk factors in relation to infertility: a Mendelian randomization analysis in the Norwegian Mother, Father and Child Cohort Study","ABSTRACTO_ST_ABSAims/hypothesisC_ST_ABSObservational evidence suggests a shared etiology between impaired glucose tolerance, cardiovascular risk, and fertility problems. We aim to establish whether impaired glucose tolerance (as measured by fasting glucose, glycated hemoglobin, and fasting insulin) and cardiovascular disease risk (as measured by LDL cholesterol, HDL cholesterol, triglycerides, systolic blood pressure, and diastolic blood pressure) are causally related to infertility (having tried to conceive for [&ge;] 12 months or used assisted reproduction technologies to conceive) by Mendelian randomization (MR) analyses in women and men.

MethodsWe conducted two-sample MR analyses, in which we used genome-wide association summary data that were publicly available for the cardiometabolic risk factors, and sex specific genome-wide association studies of infertility conducted in the Norwegian Mother, Father, and Child Cohort Study (68,882 women [average age 30, involved in 81,682 pregnancies] and 47,474 of their male partners [average age 33, 55,744 pregnancies]). We applied the inverse variance weighted method with random effects to pool data across variants and a series of sensitivity analyses to explore genetic instrument validity (we checked the robustness of genetic instruments and the lack of unbalanced horizontal pleiotropy, and we used methods that are robust to population stratification). Findings were corrected for multiple comparisons by the Bonferroni method (8 exposures: p-value < 0.00625).

ResultsIn women, increases in genetically determined fasting insulin levels were associated with greater odds of infertility (+1 log(pmol/L): OR 1.60, 95% CI 1.17 to 2.18, p-value = 0.003). The results were robust in the sensitivity analyses exploring the validity of MR assumptions and the role of pleiotropy of other cardiometabolic risk factors. There was also evidence of higher glucose and glycated hemoglobin in women (and possibly higher fasting insulin in men) causing infertility, but findings were imprecise and did not pass our p-value threshold for multiple testing. Results for lipids and blood pressure were close to the null, suggesting that these did not cause infertility.

Conclusions/interpretationGenetic instruments suggest that higher fasting insulin may increase infertility in women.

TWEETMendelian randomization suggests that higher fasting #insulin levels increase the risk of #infertility in women. @alvaro_hernaez @theCEFH @Folkehelseinst @ERC_Research #MendelianRandomization

RESEARCH IN CONTEXT What is already known about this subject?O_LIObservational evidence suggests impaired glucose tolerance, higher lipid concentrations, and higher blood pressure is associated with fertility problems.
C_LI

What is the key question?O_LIAre fasting glucose, glycated hemoglobin, fasting insulin, LDL cholesterol, HDL cholesterol, triglycerides, systolic blood pressure, and diastolic blood pressure causally related to infertility in women and men?
C_LI

What are the new findings?O_LITwo-sample Mendelian randomization suggests that higher fasting insulin levels increase the risk of infertility in women. There was also evidence of higher glucose and glycated hemoglobin in women (and maybe higher fasting insulin in men) causing infertility, but results were imprecise and did not pass our p-value threshold for multiple comparisons.
C_LIO_LIFindings for lipids and blood pressure were close to the null, suggesting that these did not have a causal role on infertility.
C_LI

How might this impact on clinical practice in the foreseeable future?O_LITreatments to lower fasting insulin levels may reduce the risk of infertility in women.
C_LI"
10.1101/2023.01.25.23285014,Incident autoimmune diseases in association with a SARS-CoV-2 infection: A matched cohort study,"ObjectivesTo investigate whether the risk of developing an incident autoimmune disease is increased in patients with previous COVID-19 disease compared to people without COVID-19.

MethodA cohort was selected from German routine health care data covering 38.9 million individuals. Based on documented diagnoses, we identified individuals with polymerase chain reaction (PCR)-confirmed COVID-19 through December 31, 2020. Patients were matched 1:3 to control patients without COVID-19. Both groups were followed up until June 30, 2021. We used the four quarters preceding the index date until the end of follow-up to analyze the onset of autoimmune diseases during the post-acute period. Incidence rates (IR) per 1000 person-years were calculated for each outcome and patient group. Poisson models were deployed to estimate the incidence rate ratios (IRRs) of developing an autoimmune disease conditional on a preceding diagnosis of COVID-19.

ResultsIn total, 641,704 patients with COVID-19 were included. Comparing the incidence rates in the COVID-19 (IR=15.05, 95% CI: 14.69-15.42) and matched control groups (IR=10.55, 95% CI: 10.25-10.86), we found a 42.63% higher likelihood of acquiring autoimmunity for patients who had suffered from COVID-19. This estimate was similar for common autoimmune diseases, such as Hashimoto thyroiditis, rheumatoid arthritis, or Sjogren syndrome. The highest IRR was observed for autoimmune disease of the vasculitis group. Patients with a more severe course of COVID-19 were at a greater risk for incident autoimmune diseases.

ConclusionsSARS-CoV-2 infection is associated with an increased risk of developing new-onset autoimmune diseases after the acute phase of infection."
10.1101/2023.01.02.23284123,Early risk-assessment of pathogen genomic variants emergence,"Accurate, reliable, and timely estimates of pathogen variant risk are essential for informing public health responses. Unprecedented rates of genomic sequencing have generated new insights into variant dynamics. However, estimating the fitness advantage of a novel variant shortly after emergence, or its dynamics more generally in data-sparse settings, remains difficult. This challenge is exacerbated in countries where surveillance is limited or intermittent. To stabilize inference in these data-sparse settings, we develop a hierarchical modeling approach to estimate variant fitness advantage and prevalence by pooling data across geographic regions. We demonstrate our method by reconstructing SARS-CoV-2 BA.5 variant emergence, and assess performance using retrospective, out-of-sample validation. We show that stable and robust estimates can be obtained even when sequencing data are sparse. Finally, we discuss how this method can inform risk assessment of novel variants and provide situational awareness on circulating variants for a range of pathogens and use-cases."
10.1101/2023.01.17.23284585,Post-marketing active surveillance of Guillan Barre Syndrome following vaccination with anti-COVID-19 vaccines in persons aged >=12 years in Italy: a multi-database self-controlled case series study,"BackgroundCase reports of Guillain Barre syndrome (GBS) following the Coronavirus Disease 2019 (COVID-19) vaccines administration have been reported. This study investigated the risk of GBS after vaccination with anti-COVID-19 vaccines (BNT162b2/Tozinameran; mRNA-1273/Elasomeran, ChAdOx1-S and Ad26.COV2-S) in the population aged [&ge;]12 years in Italy.

MethodsWe conducted a self-controlled case series study (SCCS) using national data on COVID-19 vaccination linked to emergency care/hospital discharge databases. The outcome was the first diagnosis of GBS between 27 December 2020 and 30 September 2021.

Exposure risk period were days 0 (vaccination day) through 42 days following each of the 2 vaccine doses. The remaining periods were considered as non at risk (baseline) period.

The SCCS model, adapted to event-dependent exposures, was fitted using unbiased estimating equations to estimate relative incidences (RIs) and excess of cases (EC) per 100,000 vaccinated by dose and vaccine product. Calendar period was included as time-varying confounder in the model.

ResultsThe study included 15,986,009 persons who received at least one dose of Covid-19 vaccine. During the 42-day risk interval there were a total of 67 cases of GBS after the first dose and 41 cases after the second dose. In the 42-day risk interval, increased risks were observed after the administration of first dose (RI=6.83; 95% CI 2.14-21.85) and second dose (RI=7.41; 95% CI 2.35-23.38) for mRNA-1273 vaccine, corresponding to 0.4 and 0.3 EC per 100,000 vaccinated, respectively. Increased risk was also observed after the first dose of ChAdOx1-S vaccine (RI=6.52; 95% CI 2.88-14.77), corresponding to 1.0 EC per 100,000 vaccinated. There was no evidence of increased risk of GBS after vaccination with BNT162b2 and Ad26.COV2-S vaccines.

In the subgroup analysis by sex an increased risk of GBS was observed among both males and females after mRNA-1273 vaccine. in males an increased risk was observed after the first dose, with a borderline significance (RI=5.26; 95% CI 0.94-29.42; p=0.06) and the second dose (RI=16.50; 95% CI 3.01-90.56) and in females after the first dose (RI=13.44; 95% CI 2.83-63.80). There was also evidence of an increased risk after a first dose of ChAdOx1-S in males (RI=4.94; 95% CI 1.84-13.28) and females (RI=7.14; 95% CI 1.94-26.19).

In the subgroup analysis by age, there was evidence of an increased risk of GBS with mRNA-1273 vaccine among those aged [&ge;]60 years after the first (RI=8.03; 95% CI 2.08-31.03) and second dose (RI=7.71; 95% CI 2.38-24.97). After a first dose of ChAdOx1-S there was evidence of an increased risk of GBS in those aged 40-59 (RI=4.50; 95% CI 1.37-14.79) and in those aged [&ge;]60 years (RI=6.84; 95% CI 2.56-18.28). There was no evidence of increased risk of GBS after vaccination with BNT162b2 and Ad26.COV2-S vaccines in the subgroup analysis by age and sex.

Study limitations include that the outcome was not validated through review of clinical records, the possibility of time-dependent residual confounding and the imprecision of the obtained estimates in the subgroup analysis due to the very low number of events.

ConclusionsIt is important the continuous monitoring of the suspected adverse events of the COVID-19 vaccines as key component of any vaccination program. Results from this large SCCS study showed an increased risk of GBS after first and second dose of mRNA-1273 and first dose of ChAdOx1-S. However, these findings were compatible with a small number of EC. Our data are reassuring regarding BNT162b and Ad26.COV2-S vaccines with respect to GBS outcome. No increased risk of GBS was detected following each of BNT162b vaccine dose nor any increased risk after Ad26.COV2-S vaccine dose."
10.1101/2023.01.19.23284764,Comparative effectiveness of the bivalent BA.4-5 and BA.1 mRNA-booster vaccines in the Nordic countries,"BackgroundData on the comparative vaccine effectiveness (CVE) of the bivalent mRNA-booster vaccines containing the original SARS-CoV-2 and omicron BA.4-5 and BA.1 subvariants are limited.

MethodsIn a period of BA.4-5 subvariants predominance, we estimated the CVE of the bivalent Comirnaty (Pfizer-BioNTech) and Spikevax (Moderna) BA.4-5 and BA.1 mRNA-booster vaccines given as a fourth dose in Denmark, Finland, Norway, and Sweden. From 1 July 2022 to 12 December 2022, we conducted nationwide cohort analyses using target trial emulation to compare risks of Covid-19 hospitalization and death in four-dose (second booster) with three-dose (first booster) vaccinated and between four-dose vaccinated individuals.

ResultsCompared with having received three vaccine doses, receipt of a bivalent BA.4-5 booster as a fourth dose was associated with a country-combined CVE against Covid-19 hospitalization of 80.5% (95% confidence interval, 69.5% to 91.5%). The corresponding CVE for bivalent BA.1 boosters was 74.0% (68.6% to 79.4%). CVE against Covid-19 death was 77.8% (48.3% to 100%) and 80.1% (72.0% to 88.2%) for bivalent BA.4-5 and BA.1 boosters as a fourth dose, respectively. The CVE of bivalent BA.4-5 vs. BA.1 boosters were 32.3% (10.6% to 53.9%) for Covid-19 hospitalization and 12.3% (-36.1% to 60.7%) for death (the latter estimable in Denmark only).

ConclusionsVaccination with bivalent BA.4-5 or BA.1 mRNA-booster vaccines as a fourth dose was associated with increased protection against Covid-19 hospitalization and death during a period of BA.4-5 predominance. Bivalent BA.4-5 boosters conferred moderately greater vaccine effectiveness against Covid-19 hospitalization compared with bivalent BA.1 boosters."
10.1101/2023.01.18.23284739,Effectiveness of Vaccination and Previous Infection Against Omicron Infection and Severe Outcomes in Children Under 12 Years of Age,"BackgroundData on the protection conferred by Covid-19 vaccination and previous SARS-CoV-2 infection against omicron infection and severe outcomes in children can inform prevention strategies.

MethodsWe obtained vaccination records and clinical outcomes for 1,368,721 North Carolina residents 11 years of age or younger from October 29, 2021 to January 6, 2023. We used Cox regression to estimate the time-varying effects of primary and booster vaccination and previous infection on the risks of omicron infection, hospitalization, and death.

ResultsFor children 5-11 years of age, the effectiveness of primary vaccination against infection was 59.9% (95% confidence interval [CI], 58.5 to 61.2), 33.7% (95% CI, 32.6 to 34.8), and 14.9% (95% CI, 12.3 to 17.5) at 1, 4 and 10 months after the first dose; the effectiveness of a monovalent or bivalent booster dose after 1 month was 24.4% (95% CI, 14.4 to 33.2) or 76.7% (95% CI, 45.7 to 90.0); and the effectiveness of omicron infection against reinfection was 79.9% (95% CI, 78.8 to 80.9) and 53.9% (95% CI, 52.3 to 55.5) after 3 and 6 months, respectively. For children 0-4 years of age, the effectiveness of primary vaccination against infection was 63.8% (95% CI, 57.0 to 69.5) and 58.1% (95% CI, 48.3 to 66.1) at 2 and 5 months after the first dose, and the effectiveness of omicron infection against reinfection was 77.3% (95% CI, 75.9 to 78.6) and 64.7% (95% CI, 63.3 to 66.1) after 3 and 6 months, respectively. For both age groups, vaccination and previous infection had better effectiveness against hospitalization and death than against infection.

ConclusionsCovid-19 vaccination was effective against omicron infection and severe outcomes in children under the age of 12 years, although the effectiveness decreased over time. Bivalent boosters were more effective than monovalent boosters. Immunity acquired via omicron infection was very high and waned gradually over time."
10.1101/2022.04.18.22274002,Estimating spatial disease rates from health statistics without geographic identifiers,"Morbidity statistics can be reported as grouped data for health services rather than for individual residence area, especially in low-middle income countries. Although such reports can support some evidence-based decisions, these are of limited use if the geographical distribution of morbidity cannot be identified. This study estimates the spatial rate of Acute respiratory infections (ARI) in census districts in Cucuta -Colombia, using an analysis of the spatial distribution of health services providers. The spatial scope (geographical area of influence) of each health service was established from their spatial distribution and the population covered. Three levels of spatial aggregation were established considering the spatial scope of primary, intermediate and tertiary health services providers. The ARI cases per census district were then calculated and mapped using the distribution of cases per health services provider and the proportion of population per district in each level respectively. Hotspots of risk were identified using the Local Morans I statistic. There were 98 health services providers that attended 8994, 18450 and 91025 ARI cases in spatial levels 1, 2 and 3, respectively. Higher spatial rates of ARI were found in districts in central south; northwest and northeast; and southwest Cucuta with hotspots of risk found in central and central south and west and northwest Cucuta. The method used allowed overcoming the limitations of health data lacking area of residence information to implementing epidemiological analyses to identify at risk communities. This methodology can be used in socioeconomic contexts where geographic identifiers are not attached to health statistics."
